iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	scale	shape
29200	21.57	0.541	-3609.268	-21.237	-3588.03	0.32	1.0	5.068	0.408
29300	21.649	0.558	-3610.024	-23.436	-3586.588	0.32	1.0	3.38	0.379
29400	21.727	0.568	-3610.322	-24.243	-3586.078	0.32	1.0	2.917	0.368
29500	21.804	0.578	-3609.859	-24.26	-3585.599	0.32	1.0	2.914	0.367
29600	21.881	0.562	-3612.31	-22.507	-3589.802	0.32	1.0	3.978	0.396
29700	21.965	0.535	-3611.812	-22.234	-3589.578	0.32	1.0	4.189	0.399
29800	22.043	0.54	-3610.537	-23.387	-3587.15	0.32	1.0	3.405	0.38
29900	22.128	0.544	-3610.497	-23.804	-3586.693	0.32	1.0	3.157	0.375
30000	22.21	0.582	-3611.888	-26.172	-3585.717	0.32	1.0	2.053	0.347
30100	22.292	0.578	-3609.652	-24.529	-3585.123	0.32	1.0	2.779	0.363
30200	22.373	0.554	-3608.302	-22.684	-3585.618	0.32	1.0	3.899	0.385
30300	22.457	0.554	-3608.302	-22.684	-3585.618	0.32	1.0	3.899	0.385
30400	22.536	0.554	-3608.302	-22.684	-3585.618	0.32	1.0	3.899	0.385
30500	22.617	0.554	-3608.302	-22.684	-3585.618	0.32	1.0	3.899	0.385
30600	22.7	0.554	-3608.302	-22.684	-3585.618	0.32	1.0	3.899	0.385
30700	22.781	0.571	-3610.862	-22.436	-3588.427	0.32	1.0	4.047	0.394
30800	22.86	0.556	-3608.396	-22.728	-3585.669	0.32	1.0	3.866	0.385
30900	22.94	0.556	-3608.396	-22.728	-3585.669	0.32	1.0	3.866	0.385
31000	23.025	0.55	-3608.894	-23.178	-3585.716	0.32	1.0	3.556	0.38
